Wall time,Step,Value
1733183428.965388,1002,0.0
1733183429.29289,1004,-1.0
1733183429.4501371,1005,0.0
1733183429.930358,1008,0.0
1733183430.40208,1011,0.0
1733183430.5496562,1012,0.0
1733183430.7021089,1013,-1.0
1733183430.864701,1014,0.0
1733183431.331728,1017,0.0
1733183432.660765,1025,-1.0
1733183433.019883,1027,0.0
1733183433.351619,1029,0.0
1733183433.672137,1031,-1.0
1733183433.822365,1032,0.0
1733183434.3134599,1035,0.0
1733183434.627773,1037,-1.0
1733183434.945589,1039,0.0
1733183435.735116,1044,0.0
1733183436.84396,1051,0.0
1733183436.99685,1052,0.0
1733183437.467486,1055,-1.0
1733183437.786304,1057,0.0
1733183438.724919,1063,0.0
1733183438.88416,1064,-1.0
1733183439.19571,1066,0.0
1733183439.513165,1068,0.0
1733183440.152931,1072,0.0
1733183440.813466,1076,-1.0
1733183441.120092,1078,0.0
1733183441.936173,1083,0.0
1733183442.096415,1084,0.0
1733183442.253136,1085,-1.0
1733183443.3812149,1092,0.0833333358168602
1733183443.543197,1093,0.0
1733183444.495137,1099,0.0
1733183445.127088,1103,-1.0
1733183445.276618,1104,0.0
1733183445.432876,1105,0.0
1733183446.9518359,1114,0.0
1733183447.266639,1116,0.0
1733183447.750457,1119,0.0
1733183448.6822882,1125,0.0
1733183448.828741,1126,0.0
1733183449.453849,1130,-1.0
1733183449.928784,1133,-1.0
1733183450.078409,1134,0.0
1733183450.231112,1135,0.0
1733183450.686783,1138,0.0
1733183452.4302468,1149,0.0
1733183452.9024708,1152,0.0
1733183453.385299,1155,0.03333333507180214
1733183453.544897,1156,0.0
1733183453.700693,1157,-1.0
1733183454.172472,1160,-1.0
1733183454.327898,1161,0.0
1733183454.483644,1162,0.0
1733183456.845361,1177,0.0
1733183457.320004,1180,0.0
1733183457.6358678,1182,0.0
1733183457.79037,1183,0.0
1733183458.110187,1185,0.0
1733183458.270331,1186,0.0
1733183458.74096,1189,0.0
1733183459.205888,1192,0.0
1733183459.359094,1193,-1.0
1733183459.656095,1195,0.0
1733183459.9680152,1197,0.0
1733183460.280034,1199,-1.0
1733183460.592406,1201,0.0
1733183461.120333,1204,0.0
1733183461.4190888,1206,0.0
1733183461.73009,1208,-1.0
1733183462.043969,1210,0.0
1733183462.359942,1212,0.0
1733183462.6789088,1214,-1.0
1733183464.277471,1224,0.0
1733183464.921398,1228,0.0
1733183465.564425,1232,-1.0
1733183465.7256992,1233,0.0
1733183465.8785658,1234,0.0
1733183466.178236,1236,0.0
1733183466.6315148,1239,0.0
1733183467.10448,1242,0.0
1733183467.429653,1244,-1.0
1733183467.915013,1247,-1.0
1733183468.885411,1253,-1.0
1733183469.203579,1255,0.0
1733183469.534013,1257,0.0
1733183469.6920698,1258,0.0
1733183470.175047,1261,0.0
1733183470.342217,1262,-1.0
1733183470.525612,1263,0.190476194024086
1733183471.0082629,1266,0.0
1733183472.311127,1274,-1.0
1733183473.122637,1279,0.020270269364118576
1733183473.449753,1281,0.0
1733183474.419996,1287,0.0
1733183475.071429,1291,0.0
1733183475.2354822,1292,-1.0
1733183475.384925,1293,0.0
1733183475.5572171,1294,0.0
1733183476.525183,1300,0.0
1733183477.007282,1303,0.0
1733183478.112465,1310,-1.0
1733183478.430609,1312,0.0
1733183478.8817742,1315,0.0
1733183479.041264,1316,-1.0
1733183479.54406,1319,-1.0
1733183479.704424,1320,0.0
1733183480.508207,1325,-1.0
1733183480.67083,1326,0.0
1733183480.836421,1327,0.0
1733183481.306458,1330,0.0
1733183481.777183,1333,0.0
1733183481.940306,1334,-1.0
1733183482.10515,1335,0.0
