Wall time,Step,Value
1733183367.4548879,620,6843971.5
1733183367.766268,622,18268914.0
1733183369.702778,634,15939247.0
1733183370.8328671,641,10940040.0
1733183370.998492,642,2119693.75
1733183371.324208,644,2119612.5
1733183371.4844642,645,11760712.0
1733183371.637171,646,11760588.0
1733183371.803744,647,11760445.0
1733183372.115212,649,14600937.0
1733183372.620915,652,7183612.0
1733183373.243604,656,18500772.0
1733183373.402699,657,3418383.5
1733183374.120845,661,21022902.0
1733183374.6035168,664,42655856.0
1733183375.2625751,668,28572806.0
1733183375.766402,671,18759454.0
1733183375.920515,672,19522272.0
1733183376.081528,673,19522058.0
1733183376.2427678,674,19521816.0
1733183376.4003851,675,7001302.5
1733183376.71538,677,7001033.5
1733183376.887786,678,39327132.0
1733183377.0343418,679,39326792.0
1733183377.512063,682,24202748.0
1733183377.6680179,683,24202428.0
1733183377.8257222,684,16557087.0
1733183378.138946,686,16556610.0
1733183378.456001,688,31230998.0
1733183378.614754,689,31230622.0
1733183379.741197,696,7865741.0
1733183380.22031,699,8708538.0
1733183380.8504362,703,12985558.0
1733183381.3337011,706,38062188.0
1733183381.6514728,708,20836014.0
1733183381.9733288,710,20835516.0
1733183382.6361191,714,21697480.0
1733183383.2887108,718,2187018.5
1733183383.766334,721,13362806.0
1733183383.9311612,722,13362645.0
1733183384.083182,723,14178766.0
1733183384.246947,724,14178627.0
1733183385.208388,730,57102616.0
1733183386.171988,736,20820590.0
1733183386.4928992,738,10048306.0
1733183386.637534,739,10048172.0
1733183387.267605,743,28254188.0
1733183387.760802,746,13379147.0
1733183387.9310489,747,10200626.0
1733183388.422434,750,16298138.0
1733183388.577339,751,16297958.0
1733183388.7439702,752,16297752.0
1733183389.06048,754,9532354.0
1733183389.377119,756,16733831.0
1733183390.337204,762,11926424.0
1733183390.819037,765,20026882.0
1733183390.976785,766,20026684.0
1733183391.457504,769,27018710.0
1733183391.6064289,770,27018376.0
1733183391.7656372,771,15102434.0
1733183392.094645,773,15101957.0
1733183392.258042,774,12765601.0
1733183393.235894,780,10295977.0
1733183393.862738,784,8055374.0
1733183394.0288808,785,8055249.5
1733183394.357434,787,6684722.5
1733183394.6660259,789,18414384.0
1733183394.9897869,791,18413924.0
1733183395.145507,792,24320606.0
1733183395.297157,793,24320346.0
1733183395.457228,794,24320034.0
1733183395.6114821,795,8672743.0
1733183396.083431,798,27891500.0
1733183396.389515,800,27890866.0
1733183396.710762,802,8859267.0
1733183397.193151,805,8794656.0
1733183397.5188532,807,13466759.0
1733183397.678696,808,13466636.0
1733183397.844952,809,13466492.0
1733183398.7755551,815,13436137.0
1733183398.93649,816,13611819.0
1733183399.2784152,818,13611514.0
1733183399.752005,821,21728636.0
1733183400.387806,825,4340612.0
1733183400.869011,828,7536125.0
1733183401.35493,831,13348101.0
1733183401.512213,832,13347982.0
1733183401.835019,834,31787654.0
1733183402.184863,836,31786922.0
1733183402.5069928,838,10484779.0
1733183403.2773912,843,33753704.0
1733183403.747943,846,18494940.0
1733183404.072963,848,18494540.0
1733183406.50575,863,14460313.0
1733183407.160536,867,30884716.0
1733183407.504698,869,30884056.0
